List of songs in Glee season one,,,,,,
"""Don't You Want Me""",The Human League,Rachel Berry and Blaine Anderson,"14. ""Blame It on the Alcohol""",Yes,Volume 5,2
"""Blame It""",Jamie Foxx feat. T-Pain,"Artie Abrams, Noah Puckerman, Mercedes Jones and Santana Lopez with New Directions","14. ""Blame It on the Alcohol""",Yes,Dance Party,2
"""One Bourbon, One Scotch, One Beer""",George Thorogood,Shannon Beiste and Will Schuester,"14. ""Blame It on the Alcohol""",Yes,The Complete Season Two,2
"""Tik Tok""",Ke$ha,Brittany S. Pierce with New Directions,"14. ""Blame It on the Alcohol""",Yes,Dance Party,2
"""Do You Wanna Touch Me (Oh Yeah)""[nb 3]",Joan Jett,Holly Holliday with New Directions,"15. ""Sexy""",Yes,Volume 5,2
"""Animal""",Neon Trees,"Blaine Anderson, Kurt Hummel and the Dalton Academy Warblers","15. ""Sexy""",Yes,Presents the Warblers,2
"""Kiss""",Prince and The Revolution,Will Schuester and Holly Holliday,"15. ""Sexy""",Yes,Volume 5,2
"""Landslide""",Fleetwood Mac and Dixie Chicks,Holly Holliday with Santana Lopez and Brittany S. Pierce,"15. ""Sexy""",Yes,Volume 5,2
"""Afternoon Delight""[nb 4]",Starland Vocal Band,"Carl Howell, Noah Puckerman, Rachel Berry, Emma Pillsbury and Quinn Fabray","15. ""Sexy""",Yes,The Complete Season Two,2
"""Misery""",Maroon 5,Dalton Academy Warblers,"16. ""Original Song""",Yes,Presents the Warblers,2
"""Only Child""",Original composition,Rachel Berry,"16. ""Original Song""",No,TBA,2
"""Blackbird""",The Beatles,Kurt Hummel with the Dalton Academy Warblers,"16. ""Original Song""",Yes,Presents the Warblers,2
"""Trouty Mouth""",Original composition,Santana Lopez,"16. ""Original Song""",Yes,The Complete Season Two,2
"""Big Ass Heart""",Original composition,Noah Puckerman,"16. ""Original Song""",Yes,The Complete Season Two,2
"""Hell to the No""",Original composition,"Mercedes Jones with Tina Cohen-Chang, Santana Lopez, Brittany S. Pierce and Lauren Zizes","16. ""Original Song""",Yes,The Complete Season Two,2
"""Jesus Is My Friend""",Sonseed,Aural Intensity,"16. ""Original Song""",No,TBA,2
"""Candles""",Hey Monday,"Blaine Anderson, Kurt Hummel and the Dalton Academy Warblers","16. ""Original Song""",Yes,Presents the Warblers,2
"""Raise Your Glass""",Pink,Dalton Academy Warblers,"16. ""Original Song""",Yes,Presents the Warblers,2
"""Get It Right""",Original composition,"Rachel Berry with Brittany S. Pierce, Tina Cohen-Chang and New Directions females","16. ""Original Song""",Yes,Volume 5,2
"""Loser like Me""",Original composition,"Rachel Berry, Santana Lopez, Finn Hudson and Brittany S. Pierce with New Directions","16. ""Original Song""",Yes,Volume 5,2
"""All by Myself""",Céline Dion,Sunshine Corazon,"17. ""A Night of Neglect""",Yes,The Complete Season Two,2
"""I Follow Rivers""",Lykke Li,Tina Cohen-Chang,"17. ""A Night of Neglect""",Yes,The Complete Season Two,2
"""Bubble Toes""[nb 1]",Jack Johnson,Mike Chang,"17. ""A Night of Neglect""",No,TBA,2
"""Turning Tables""",Adele,Holly Holliday,"17. ""A Night of Neglect""",Yes,Volume 6,2
"""Ain't No Way""",Aretha Franklin,Mercedes Jones with church choir,"17. ""A Night of Neglect""",Yes,The Complete Season Two,2
"""I Feel Pretty"" / ""Unpretty""",West Side Story / TLC,Quinn Fabray and Rachel Berry,"18. ""Born This Way""",Yes,Volume 6,2
"""I've Gotta Be Me""","Sammy Davis, Jr.",Finn Hudson with Mike Chang,"18. ""Born This Way""",Yes,The Complete Season Two,2
"""Somewhere Only We Know""",Keane,Blaine Anderson with Dalton Academy Warblers,"18. ""Born This Way""",Yes,Presents the Warblers,2
"""As If We Never Said Goodbye""",Sunset Boulevard,Kurt Hummel,"18. ""Born This Way""",Yes,Volume 6,2
"""Barbra Streisand""[nb 1]",Duck Sauce,New Directions with mall flash mob,"18. ""Born This Way""",No,TBA,2
"""Born This Way""",Lady Gaga,"Tina Cohen-Chang, Mercedes Jones, and Kurt Hummel with New Directions","18. ""Born This Way""",Yes,Volume 6,2
"""Dreams""",Fleetwood Mac,April Rhodes and Will Schuester,"19. ""Rumours""",Yes,Volume 6,2
"""Never Going Back Again""",Fleetwood Mac,Artie Abrams,"19. ""Rumours""",Yes,The Complete Season Two,2
"""Songbird""",Fleetwood Mac,Santana Lopez,"19. ""Rumours""",Yes,Volume 6,2
"""I Don't Want to Know""",Fleetwood Mac,Quinn Fabray and Finn Hudson,"19. ""Rumours""",Yes,The Complete Season Two,2
"""Nice to Meet You, Have I Slept with You?""",Original composition,April Rhodes and Will Schuester,"19. ""Rumours""",No,TBA,2
"""Go Your Own Way""",Fleetwood Mac,Rachel Berry,"19. ""Rumours""",Yes,Volume 6,2
"""Don't Stop""",Fleetwood Mac,"Sam Evans, Quinn Fabray, Finn Hudson and Rachel Berry with New Directions","19. ""Rumours""",Yes,Volume 6,2
"""Rolling in the Deep""",Adele covered by John Legend,Rachel Berry and Jesse St. James with the AV club,"20. ""Prom Queen""",Yes,Volume 6,2
"""Isn't She Lovely?""",Stevie Wonder,"Artie Abrams with Finn Hudson, Sam Evans, Noah Puckerman and Mike Chang","20. ""Prom Queen""",Yes,Volume 6,2
"""Friday""",Rebecca Black,"Artie Abrams, Sam Evans and Noah Puckerman","20. ""Prom Queen""",Yes,The Complete Season Two,2
"""Jar of Hearts""",Christina Perri,Rachel Berry,"20. ""Prom Queen""",Yes,The Complete Season Two,2
"""I'm Not Gonna Teach Your Boyfriend How to Dance with You""",Black Kids,Blaine Anderson with Tina Cohen-Chang and Brittany S. Pierce,"20. ""Prom Queen""",Yes,Dance Party,2
"""Dancing Queen""",ABBA,Santana Lopez and Mercedes Jones,"20. ""Prom Queen""",Yes,Volume 6,2
"""Back to Black""",Amy Winehouse,Santana Lopez,"21. ""Funeral""",Yes,The Complete Season Two,2
"""Some People""",Gypsy: A Musical Fable,Kurt Hummel,"21. ""Funeral""",Yes,The Complete Season Two,2
"""Try a Little Tenderness""",Otis Redding,Mercedes Jones,"21. ""Funeral""",Yes,Volume 6,2
"""My Man""",Barbra Streisand,Rachel Berry,"21. ""Funeral""",Yes,Volume 6,2
"""Pure Imagination""",Willy Wonka & the Chocolate Factory,"Tina Cohen-Chang, Kurt Hummel, Finn Hudson and Artie Abrams with New Directions","21. ""Funeral""",Yes,Volume 6,2
"""My Cup""",Original composition,Brittany S. Pierce and Artie Abrams,"22. ""New York""",Yes,The Complete Season Two,2
"""I Love New York"" / ""New York, New York""",Madonna / On the Town,"Finn Hudson, Santana Lopez, Artie Abrams, Mercedes Jones, Rachel Berry and Brittany S. Pierce with New Directions","22. ""New York""",Yes,The Complete Season Two,2
"""Still Got Tonight""",Matthew Morrison,Will Schuester,"22. ""New York""",No,Matthew Morrison,2
"""Bella Notte""",Lady and the Tramp,"Noah Puckerman, Sam Evans, Mike Chang and Artie Abrams","22. ""New York""",Yes,Volume 6,2
"""For Good""",Wicked,Rachel Berry and Kurt Hummel,"22. ""New York""",Yes,The Complete Season Two,2
"""Yeah!""",Usher feat. Lil Jon and Ludacris,Unnamed female a cappella group,"22. ""New York""",Yes,Dance Party,2
"""As Long as You're There""",Original composition,Sunshine Corazon with Vocal Adrenaline,"22. ""New York""",Yes,Volume 6,2
"""Pretending""",Original composition,Rachel Berry and Finn Hudson,"22. ""New York""",Yes,Volume 6,2
"""Light Up the World""",Original composition,"Santana Lopez, Artie Abrams, Brittany S. Pierce, Rachel Berry, Finn Hudson and Tina Cohen-Chang with New Directions","22. ""New York""",Yes,Volume 6,2
"""We Got the Beat""",The Go-Gos,"Rachel Berry, Santana Lopez and Brittany Pierce with New Directions","1. ""The Purple Piano Project""",Yes,The Complete Season Three,3
"""Big Spender""",Sweet Charity,Sugar Motta,"1. ""The Purple Piano Project""",No,TBA,3
"""Ding-Dong! The Witch Is Dead""",Barbra Streisand and Harold Arlen,Rachel Berry and Kurt Hummel,"1. ""The Purple Piano Project""",Yes,The Complete Season Three,3
"""It's Not Unusual""",Tom Jones,Blaine Anderson with the McKinley High Cheerios,"1. ""The Purple Piano Project""",Yes,Volume 7,3
"""Anything Goes"" / ""Anything You Can Do""",Anything Goes / Annie Get Your Gun,Harmony and prospective NYADA applicants,"1. ""The Purple Piano Project""",Yes,The Complete Season Three,3
"""You Can't Stop the Beat""",Hairspray,"Rachel Berry, Tina Cohen-Chang, Mercedes Jones, Kurt Hummel, Artie Abrams, and Finn Hudson with New Directions","1. ""The Purple Piano Project""",Yes,Volume 7,3
"""Somewhere""",West Side Story,Rachel Berry and Shelby Corcoran,"2. ""I Am Unicorn""",Yes,Volume 7,3
"""I'm the Greatest Star""",Funny Girl,Kurt Hummel,"2. ""I Am Unicorn""",Yes,The Complete Season Three,3
"""Something's Coming""",West Side Story,Blaine Anderson,"2. ""I Am Unicorn""",Yes,The Complete Season Three,3
"""Spotlight""",Jennifer Hudson,Mercedes Jones with Tina Cohen-Chang and Brittany Pierce,"3. ""Asian F""",Yes,The Complete Season Three,3
"""Run the World (Girls)""",Beyoncé,Brittany Pierce and Santana Lopez with McKinley High females,"3. ""Asian F""",Yes,Volume 7,3
"""Cool""",West Side Story,Mike Chang with the McKinley High Titans,"3. ""Asian F""",Yes,The Complete Season Three,3
"""It's All Over""",Dreamgirls,Mercedes Jones with New Directions Booty Camp and Will Schuester,"3. ""Asian F""",Yes,The Complete Season Three,3
"""Out Here on My Own""",Fame,Rachel Berry and Mercedes Jones,"3. ""Asian F""",Yes,The Complete Season Three,3
"""Fix You""",Coldplay,Will Schuester with Artie Abrams and New Directions,"3. ""Asian F""",Yes,Volume 7,3
"""Bein' Green""",The Muppets,Rory Flanagan,"4. ""Pot o' Gold""",Yes,The Complete Season Three,3
"""Last Friday Night (T.G.I.F.)""",Katy Perry,Blaine Anderson and New Directions except Santana Lopez,"4. ""Pot o' Gold""",Yes,Volume 7,3
"""Waiting for a Girl Like You""",Foreigner,Noah Puckerman,"4. ""Pot o' Gold""",Yes,The Complete Season Three,3
"""Candyman""",Christina Aguilera,"Mercedes Jones, Santana Lopez and Brittany Pierce with the Troubletones","4. ""Pot o' Gold""",Yes,The Complete Season Three,3
"""Take Care of Yourself""[nb 1]",Teddy Thompson,Rory Flanagan,"4. ""Pot o' Gold""",Yes,Volume 7,3
"""Tonight""",West Side Story,Rachel Berry and Blaine Anderson,"5. ""The First Time""",Yes,Volume 7,3
"""Uptown Girl""",Billy Joel,Dalton Academy Warblers,"5. ""The First Time""",Yes,Volume 7,3
"""A Boy Like That""",West Side Story,Santana Lopez and Rachel Berry,"5. ""The First Time""",Yes,The Complete Season Three,3
"""I Have a Love""[nb 2]",West Side Story,Rachel Berry and Santana Lopez,"5. ""The First Time""",Yes,The Complete Season Three,3
"""America""",West Side Story,"Santana Lopez and Noah Puckerman with Tina Cohen-Chang, Mike Chang, Sharks and Jets","5. ""The First Time""",Yes,The Complete Season Three,3
"""One Hand, One Heart""",West Side Story,Blaine Anderson and Rachel Berry,"5. ""The First Time""",Yes,The Complete Season Three,3
"""Hot for Teacher""",Van Halen,"Noah Puckerman with Finn Hudson, Blaine Anderson and Mike Chang","6. ""Mash Off""",Yes,Volume 7,3
"""You and I"" / ""You and I""",Lady Gaga / Eddie Rabbitt and Crystal Gayle,Shelby Corcoran and Will Schuester,"6. ""Mash Off""",Yes,The Complete Season Three,3
"""Hit Me with Your Best Shot"" / ""One Way or Another""",Pat Benatar / Blondie,Santana Lopez and Finn Hudson with New Directions and the Troubletones,"6. ""Mash Off""",Yes,The Complete Season Three,3
"""I Can't Go for That (No Can Do)"" / ""You Make My Dreams""",Hall & Oates,"Finn Hudson, Quinn Fabray, Rory Flanagan and Tina Cohen-Chang with New Directions","6. ""Mash Off""",Yes,The Complete Season Three,3
"""Rumour Has It"" / ""Someone Like You""",Adele,"Mercedes Jones, Santana Lopez and Brittany Pierce with the Troubletones","6. ""Mash Off""",Yes,Volume 7,3
"""Perfect""[nb 1]",Pink,Kurt Hummel and Blaine Anderson,"7. ""I Kissed a Girl""",Yes,Volume 7,3
"""I'm the Only One""[nb 1]",Melissa Etheridge,Noah Puckerman,"7. ""I Kissed a Girl""",Yes,Volume 7,3
"""Girls Just Want to Have Fun""",Cyndi Lauper,Finn Hudson with New Directions males,"7. ""I Kissed a Girl""",Yes,Volume 7,3
"""Jolene""",Dolly Parton,Shannon Beiste,"7. ""I Kissed a Girl""",Yes,The Complete Season Three,3
"""I Kissed a Girl""[nb 1]",Katy Perry,"Santana Lopez and Rachel Berry with Tina Cohen-Chang, Quinn Fabray, Mercedes Jones, Sugar Motta and Brittany Pierce","7. ""I Kissed a Girl""",Yes,Volume 7,3
"""Constant Craving""",k.d. lang,Santana Lopez and Shelby Corcoran with Kurt Hummel,"7. ""I Kissed a Girl""",Yes,Volume 7,3
"""Red Solo Cup""[nb 1]",Toby Keith,"Sam Evans with Quinn Fabray, Mike Chang, Noah Puckerman, Tina Cohen-Chang and New Directions","8. ""Hold on to Sixteen""",Yes,Volume 7,3
"""Buenos Aires""",Evita,Harmony and the Unitards,"8. ""Hold on to Sixteen""",Yes,The Complete Season Three,3
"""Survivor"" / ""I Will Survive""",Destiny's Child / Gloria Gaynor,"Santana Lopez, Mercedes Jones and Brittany Pierce with the Troubletones","8. ""Hold on to Sixteen""",Yes,The Complete Season Three,3
"""ABC""",The Jackson 5,"Tina Cohen-Chang, Mike Chang, Kurt Hummel and Quinn Fabray with New Directions","8. ""Hold on to Sixteen""",Yes,Volume 7,3
"""Control""",Janet Jackson,"Quinn Fabray, Blaine Anderson and Artie Abrams with New Directions","8. ""Hold on to Sixteen""",Yes,Volume 7,3
"""Man in the Mirror""",Michael Jackson,"Finn Hudson, Artie Abrams, Noah Puckerman, Blaine Anderson, Sam Evans and Mike Chang with New Directions","8. ""Hold on to Sixteen""",Yes,Volume 7,3
"""We Are Young""",fun. feat. Janelle Monáe,"Rachel Berry, Finn Hudson, Sam Evans, Santana Lopez, Mercedes Jones and Quinn Fabray with New Directions","8. ""Hold on to Sixteen""",Yes,The Graduation Album,3
"""All I Want for Christmas Is You""",Mariah Carey,Mercedes Jones with New Directions Girls,"9. ""Extraordinary Merry Christmas""",Yes,The Christmas Album Volume 2,3
"""Blue Christmas""",Elvis Presley,Rory Flanagan,"9. ""Extraordinary Merry Christmas""",Yes,The Christmas Album Volume 2,3
"""River""",Joni Mitchell,Rachel Berry,"9. ""Extraordinary Merry Christmas""",Yes,The Christmas Album Volume 2,3
"""Extraordinary Merry Christmas""",Original composition,Blaine Anderson and Rachel Berry with New Directions,"9. ""Extraordinary Merry Christmas""",Yes,The Christmas Album Volume 2,3
"""Let It Snow""",Vaughn Monroe,Blaine Anderson and Kurt Hummel,"9. ""Extraordinary Merry Christmas""",Yes,The Christmas Album Volume 2,3
"""My Favorite Things""",The Sound of Music,"Rachel Berry, Mercedes Jones, Kurt Hummel and Blaine Anderson","9. ""Extraordinary Merry Christmas""",Yes,The Complete Season Three,3
"""Santa Claus Is Coming to Town""",Bruce Springsteen and the E Street Band,"Finn Hudson and Noah Puckerman with Rachel Berry, Mercedes Jones, Kurt Hummel and Blaine Anderson","9. ""Extraordinary Merry Christmas""",Yes,The Christmas Album Volume 2,3
"""Christmas Wrapping""",The Waitresses,"Brittany Pierce with Santana Lopez, Tina Cohen-Chang, Mike Chang and the McKinley High Cheerios","9. ""Extraordinary Merry Christmas""",Yes,The Christmas Album Volume 2,3
"""Do They Know It's Christmas?""",Band Aid,New Directions,"9. ""Extraordinary Merry Christmas""",Yes,The Christmas Album Volume 2,3
"""Summer Nights""",Grease,Sam Evans and Mercedes Jones with New Directions,"10. ""Yes/No""",Yes,Presents Glease,3
"""Wedding Bell Blues""",The 5th Dimension,Emma Pillsbury with Shannon Beiste and Sue Sylvester,"10. ""Yes/No""",Yes,The Complete Season Three,3
"""Moves Like Jagger"" / ""Jumpin' Jack Flash""",Maroon 5 feat. Christina Aguilera / The Rolling Stones,"Artie Abrams with Mike Chang, Will Schuester, Blaine Anderson, Finn Hudson and Noah Puckerman","10. ""Yes/No""",Yes,The Complete Season Three,3
"""The First Time Ever I Saw Your Face""",Roberta Flack,"Rachel Berry, Tina Cohen-Chang, Santana Lopez and Mercedes Jones","10. ""Yes/No""",Yes,The Complete Season Three,3
"""Without You""",David Guetta feat. Usher,Rachel Berry,"10. ""Yes/No""",Yes,The Complete Season Three,3
"""We Found Love""",Rihanna feat. Calvin Harris,Rachel Berry and Santana Lopez with New Directions,"10. ""Yes/No""",Yes,The Complete Season Three,3
"""Wanna Be Startin' Somethin'""",Michael Jackson,Blaine Anderson with New Directions,"11. ""Michael""",Yes,The Complete Season Three,3
"""Bad""",Michael Jackson,"Artie Abrams, Blaine Anderson and Santana Lopez with New Directions and Dalton Academy Warblers","11. ""Michael""",Yes,The Complete Season Three,3
"""Scream""",Michael Jackson and Janet Jackson,Artie Abrams and Mike Chang,"11. ""Michael""",Yes,The Complete Season Three,3
"""Never Can Say Goodbye""",The Jackson 5,Quinn Fabray,"11. ""Michael""",Yes,The Complete Season Three,3
"""Human Nature""",Michael Jackson,Mercedes Jones and Sam Evans,"11. ""Michael""",Yes,The Complete Season Three,3
"""Ben""",Michael Jackson,"Kurt Hummel, Rachel Berry and Finn Hudson","11. ""Michael""",Yes,The Complete Season Three,3
"""Smooth Criminal""",Michael Jackson,Sebastian Smythe and Santana Lopez with the Dalton Cellists,"11. ""Michael""",Yes,The Complete Season Three,3
"""I Just Can't Stop Loving You""",Michael Jackson feat. Siedah Garrett,Finn Hudson and Rachel Berry,"11. ""Michael""",Yes,The Complete Season Three,3
"""Black or White""",Michael Jackson,"Artie Abrams, Rachel Berry, Santana Lopez, Kurt Hummel and Mercedes Jones with New Directions and Dalton Academy Warblers","11. ""Michael""",Yes,The Complete Season Three,3
"""La Cucaracha""",Traditional,"Will Schuester with Artie Abrams, Finn Hudson and Noah Puckerman","12. ""The Spanish Teacher""",No,TBA,3
"""Sexy and I Know It""",LMFAO,David Martinez and Artie Abrams with New Directions,"12. ""The Spanish Teacher""",Yes,The Complete Season Three,3
"""Don't Wanna Lose You""",Gloria Estefan,Mercedes Jones,"12. ""The Spanish Teacher""",Yes,The Complete Season Three,3
"""Bamboleo"" / ""Hero""",Gipsy Kings / Enrique Iglesias,Sam Evans and New Directions males,"12. ""The Spanish Teacher""",Yes,The Complete Season Three,3
"""La Isla Bonita""",Madonna,David Martinez and Santana Lopez,"12. ""The Spanish Teacher""",Yes,The Complete Season Three,3
"""A Little Less Conversation""",Elvis Presley,Will Schuester with Brittany Pierce and Mike Chang,"12. ""The Spanish Teacher""",Yes,The Complete Season Three,3
"""Chapel of Love""",The Dixie Cups,Hiram Berry and LeRoy Berry,"13. ""Heart""",No,TBA,3
"""L-O-V-E""",Nat King Cole,Mike Chang and Tina Cohen-Chang,"13. ""Heart""",Yes,The Complete Season Three,3
"""Let Me Love You""",Mario,"Artie Abrams with Mike Chang, Sam Evans, Kurt Hummel and Noah Puckerman","13. ""Heart""",Yes,The Complete Season Three,3
"""Stereo Hearts""",Gym Class Heroes feat. Adam Levine,"Joe Hart, Sam Evans and Mercedes Jones with Quinn Fabray and Mercedes' church choir","13. ""Heart""",Yes,The Complete Season Three,3
"""Home""",Michael Bublé,Rory Flanagan,"13. ""Heart""",Yes,The Complete Season Three,3
"""I Will Always Love You""",Whitney Houston,Mercedes Jones,"13. ""Heart""",Yes,The Complete Season Three,3
"""You're the Top""",Anything Goes,"Hiram Berry, LeRoy Berry and Rachel Berry","13. ""Heart""",Yes,The Complete Season Three,3
"""Cherish"" / ""Cherish""",The Association / Madonna,"Quinn Fabray, Sam Evans, Joe Hart and Mercedes Jones","13. ""Heart""",Yes,The Complete Season Three,3
"""Love Shack""",The B-52's,"Blaine Anderson, Mercedes Jones and Kurt Hummel with Rachel Berry, Brittany Pierce and the Sugar Shack patrons","13. ""Heart""",Yes,The Complete Season Three,3
"""Cough Syrup""",Young the Giant,Blaine Anderson,"14. ""On My Way""",Yes,The Complete Season Three,3
"""Stand""",Lenny Kravitz,Dalton Academy Warblers,"14. ""On My Way""",Yes,The Complete Season Three,3
"""Glad You Came""",The Wanted,Dalton Academy Warblers,"14. ""On My Way""",Yes,The Complete Season Three,3
"""She Walks in Beauty""",Lord Byron,The Golden Goblets,"14. ""On My Way""",No,TBA,3
"""Fly"" / ""I Believe I Can Fly""",Nicki Minaj feat. Rihanna /,"Rachel Berry, Artie Abrams, Santana Lopez, Blaine Anderson, Finn Hudson and Mercedes Jones with New Directions","14. ""On My Way""",Yes,The Complete Season Three,3
,R. Kelly,,,,,3
"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,"Santana Lopez, Brittany Pierce and Mercedes Jones with the Troubletones as New Directions","14. ""On My Way""",Yes,The Complete Season Three,3
"""Here's to Us""",Halestorm,Rachel Berry with New Directions,"14. ""On My Way""",Yes,The Complete Season Three,3
"""I'm Still Standing""",Elton John,Quinn Fabray and Artie Abrams,"15. ""Big Brother""",Yes,The Complete Season Three,3
"""Hungry Like the Wolf"" / ""Rio""",Duran Duran,Blaine Anderson and Cooper Anderson with New Directions,"15. ""Big Brother""",Yes,The Complete Season Three,3
"""Fighter""",Christina Aguilera,Blaine Anderson,"15. ""Big Brother""",Yes,The Complete Season Three,3
"""Up Up Up""",Givers,Artie Abrams and Quinn Fabray,"15. ""Big Brother""",Yes,The Complete Season Three,3
"""Somebody That I Used to Know""",Gotye feat. Kimbra,Blaine Anderson and Cooper Anderson,"15. ""Big Brother""",Yes,The Complete Season Three,3
"""You Should Be Dancing""",Bee Gees,"Blaine Anderson, Mike Chang and Brittany Pierce","16. ""Saturday Night Glee-ver""",Yes,The Complete Season Three,3
"""That's the Way (I Like It)""[nb 3]",KC and the Sunshine Band,1993 McKinley High Glee Club,"16. ""Saturday Night Glee-ver""",No,TBA,3
"""Night Fever""",Bee Gees,"Will Schuester, Joe Hart and Blaine Anderson with New Directions and Sue Sylvester","16. ""Saturday Night Glee-ver""",Yes,The Complete Season Three,3
"""Disco Inferno""",The Trammps,Mercedes Jones with Santana Lopez and Brittany Pierce,"16. ""Saturday Night Glee-ver""",Yes,The Complete Season Three,3
"""If I Can't Have You""",Yvonne Elliman,Santana Lopez with New Directions,"16. ""Saturday Night Glee-ver""",Yes,The Complete Season Three,3
"""How Deep Is Your Love""",Bee Gees,Rachel Berry with the New Directions band,"16. ""Saturday Night Glee-ver""",Yes,The Complete Season Three,3
"""Boogie Shoes""",KC and the Sunshine Band,"Wade ""Unique"" Adams and Vocal Adrenaline","16. ""Saturday Night Glee-ver""",Yes,The Complete Season Three,3
"""More Than a Woman""",Bee Gees,"Finn Hudson with Rachel Berry, Blaine Anderson, Kurt Hummel, Santana Lopez, Brittany Pierce, Mike Chang, Tina Cohen-Chang and New Directions","16. ""Saturday Night Glee-ver""",Yes,The Complete Season Three,3
"""Stayin' Alive""",Bee Gees,"Finn Hudson, Mercedes Jones and Santana Lopez with New Directions and Sue Sylvester","16. ""Saturday Night Glee-ver""",Yes,The Complete Season Three,3
"""How Will I Know""",Whitney Houston,"Mercedes Jones, Santana Lopez, Kurt Hummel and Rachel Berry","17. ""Dance with Somebody""",Yes,The Complete Season Three,3
"""I Wanna Dance with Somebody (Who Loves Me)""",Whitney Houston,Brittany Pierce and Santana Lopez with the McKinley High Cheerios,"17. ""Dance with Somebody""",Yes,The Complete Season Three,3
"""Saving All My Love for You""",Whitney Houston,Joe Hart and Quinn Fabray,"17. ""Dance with Somebody""",Yes,The Complete Season Three,3
"""So Emotional""",Whitney Houston,Santana Lopez and Rachel Berry,"17. ""Dance with Somebody""",Yes,The Complete Season Three,3
"""It's Not Right but It's Okay""",Whitney Houston,Blaine Anderson with New Directions except Kurt Hummel,"17. ""Dance with Somebody""",Yes,The Complete Season Three,3
"""I Have Nothing""",Whitney Houston,Kurt Hummel,"17. ""Dance with Somebody""",Yes,The Complete Season Three,3
"""My Love Is Your Love""",Whitney Houston,"Artie Abrams, Mercedes Jones, Blaine Anderson and Kurt Hummel with New Directions","17. ""Dance with Somebody""",Yes,The Complete Season Three,3
"""The Music of the Night""",The Phantom of the Opera,Kurt Hummel with Tina Cohen-Chang,"18. ""Choke""",No,TBA,3
"""School's Out""",Alice Cooper,Noah Puckerman,"18. ""Choke""",Yes,The Graduation Album,3
"""Cell Block Tango""",Chicago,"Tina Cohen-Chang, Santana Lopez, Sugar Motta, Mercedes Jones, and Brittany Pierce","18. ""Choke""",Yes,The Complete Season Three,3
"""Not the Boy Next Door""",The Boy from Oz,"Kurt Hummel with Tina Cohen-Chang, Mercedes Jones and Brittany Pierce","18. ""Choke""",Yes,The Complete Season Three,3
"""Don't Rain on My Parade""[nb 4]",Funny Girl,Rachel Berry,"18. ""Choke""",No,TBA,3
"""The Rain in Spain""",My Fair Lady,"Noah Puckerman, Finn Hudson, Blaine Anderson and Mike Chang with Sam Evans, Rory Flanagan and Joe Hart","18. ""Choke""",Yes,The Complete Season Three,3
"""Shake It Out""",Florence + the Machine,"Santana Lopez, Tina Cohen-Chang and Mercedes Jones","18. ""Choke""",Yes,The Complete Season Three,3
"""Cry""",Kelly Clarkson,Rachel Berry,"18. ""Choke""",Yes,The Complete Season Three,3
