List of songs in Glee season one,,,,,,
"""Big Girls Don't Cry""",Fergie,"Rachel Berry, Kurt Hummel and Blaine Anderson","19. ""Prom-asaurus""",Yes,The Complete Season Three,3
"""Dinosaur""",Ke$ha,Brittany Pierce with the McKinley High Cheerios,"19. ""Prom-asaurus""",Yes,The Complete Season Three,3
"""Love You Like a Love Song""",Selena Gomez & the Scene,Santana Lopez with Tina Cohen-Chang and Brittany Pierce,"19. ""Prom-asaurus""",Yes,The Complete Season Three,3
"""What Makes You Beautiful""",One Direction,"Joe Hart, Rory Flanagan, Artie Abrams, Sam Evans and Mike Chang","19. ""Prom-asaurus""",Yes,The Complete Season Three,3
"""Take My Breath Away""",Berlin,Quinn Fabray and Santana Lopez,"19. ""Prom-asaurus""",Yes,The Complete Season Three,3
"""I Won't Give Up""",Jason Mraz,Rachel Berry,"20. ""Props""",Yes,The Graduation Album,3
"""Because You Loved Me""",Celine Dion,Tina Cohen-Chang as Rachel Berry,"20. ""Props""",Yes,The Complete Season Three,3
"""Always True to You in My Fashion""","Kiss Me, Kate",Carmen Tibideaux's pupil,"20. ""Props""",No,TBA,3
"""Mean""",Taylor Swift,Noah Puckerman and Shannon Beiste,"20. ""Props""",Yes,The Complete Season Three,3
"""Flashdance... What a Feeling""",Irene Cara,Rachel Berry and Tina Cohen-Chang,"20. ""Props""",Yes,The Complete Season Three,3
"""The Edge of Glory""",Lady Gaga,"Santana Lopez, Mercedes Jones, Tina Cohen-Chang, Quinn Fabray, and the Troubletones as New Directions","21. ""Nationals""",Yes,The Graduation Album,3
"""It's All Coming Back to Me Now""",Celine Dion,"Rachel Berry with Blaine Anderson, Mike Chang, Tina Cohen-Chang, Quinn Fabray, Rory Flanagan and Sugar Motta","21. ""Nationals""",Yes,The Complete Season Three,3
"""Paradise by the Dashboard Light""",Meat Loaf,New Directions,"21. ""Nationals""",Yes,The Complete Season Three,3
"""Starships""",Nicki Minaj,"Wade ""Unique"" Adams and Vocal Adrenaline","21. ""Nationals""",Yes,The Complete Season Three,3
"""Pinball Wizard""",The Who,"Wade ""Unique"" Adams and Vocal Adrenaline","21. ""Nationals""",Yes,The Complete Season Three,3
"""Starlight Express""",Starlight Express,The Portland Scale Blazers,"21. ""Nationals""",No,TBA,3
"""Tongue Tied""",Grouplove,"Artie Abrams, Santana Lopez, Rachel Berry and Finn Hudson with New Directions","21. ""Nationals""",Yes,The Complete Season Three,3
"""We Are the Champions""",Queen,"Finn Hudson, Noah Puckerman, Santana Lopez, Rachel Berry, Kurt Hummel, Quinn Fabray, Mike Chang, and Mercedes Jones with New Directions","21. ""Nationals""",Yes,The Graduation Album,3
"""Sit Down, You're Rockin' the Boat""[nb 5]",Guys and Dolls,"Artie Abrams, Rachel Berry, Tina Cohen-Chang, Kurt Hummel and Mercedes Jones","22. ""Goodbye""",No,TBA,3
"""Forever Young""",Rod Stewart,Will Schuester,"22. ""Goodbye""",Yes,The Graduation Album,3
"""Single Ladies (Put a Ring on It)""[nb 5][nb 6]",Beyoncé,Burt Hummel with Tina Cohen-Chang and Brittany Pierce,"22. ""Goodbye""",No,TBA,3
"""I'll Remember""",Madonna,Kurt Hummel and New Directions,"22. ""Goodbye""",Yes,The Graduation Album,3
"""You Get What You Give""",New Radicals,Graduating members of New Directions,"22. ""Goodbye""",Yes,The Graduation Album,3
"""In My Life""",The Beatles,New Directions underclassmen and Will Schuester,"22. ""Goodbye""",Yes,The Complete Season Three,3
"""Glory Days""",Bruce Springsteen,Finn Hudson and Noah Puckerman,"22. ""Goodbye""",Yes,The Graduation Album,3
"""Roots Before Branches""",Room for Two,Rachel Berry with Finn Hudson,"22. ""Goodbye""",Yes,The Graduation Album,3
"""Sister Christian""",Night Ranger,Brody Weston,"1. ""The New Rachel""",No,No,4
"""Call Me Maybe""",Carly Rae Jepsen,"Wade ""Unique"" Adams, Blaine Anderson, Tina Cohen-Chang and Brittany Pierce","1. ""The New Rachel""",Yes,The Complete Season Four[5],4
"""Americano"" / ""Dance Again""[nb 1]",Lady Gaga / Jennifer Lopez feat. Pitbull,Cassandra July with NYADA students,"1. ""The New Rachel""",Yes,"Season 4, Volume 1",4
"""Busters Get Popped""",Original composition,Stoner Brett Bukowski,"1. ""The New Rachel""",No,No,4
"""Never Say Never""",The Fray,Jake Puckerman,"1. ""The New Rachel""",Yes,The Complete Season Four[5],4
"""Ave Maria""",Franz Schubert,Beatrice McClaine,"1. ""The New Rachel""",No,No,4
"""New York State of Mind""",Billy Joel,Rachel Berry and Marley Rose,"1. ""The New Rachel""",Yes,"Season 4, Volume 1",4
"""It's Time""",Imagine Dragons,Blaine Anderson,"1. ""The New Rachel""",Yes,"Season 4, Volume 1",4
"""Chasing Pavements""",Adele,Marley Rose with New Directions,"1. ""The New Rachel""",Yes,The Complete Season Four[5],4
"""Hold It Against Me""",Britney Spears,Brittany Pierce and Kitty Wilde with the McKinley High Cheerios,"2. ""Britney 2.0""",Yes,Britney 2.0,4
"""Boys"" / ""Boyfriend""",Britney Spears feat. Pharrell Williams / Justin Bieber,Artie Abrams and Blaine Anderson,"2. ""Britney 2.0""",Yes,Britney 2.0,4
"""Womanizer""",Britney Spears,"Wade ""Unique"" Adams, Tina Cohen-Chang and Marley Rose with McKinley's female gym class","2. ""Britney 2.0""",Yes,Britney 2.0,4
"""3""",Britney Spears,"Tina Cohen-Chang, Joe Hart and Sam Evans","2. ""Britney 2.0""",Yes,Britney 2.0,4
"""Crazy"" / ""(You Drive Me) Crazy""",Aerosmith / Britney Spears,Marley Rose and Jake Puckerman,"2. ""Britney 2.0""",Yes,Britney 2.0,4
"""Oops!... I Did It Again""",Britney Spears,Rachel Berry with Brody Weston and NYADA students,"2. ""Britney 2.0""",Yes,Britney 2.0,4
"""Gimme More""",Britney Spears,Brittany Pierce with New Directions,"2. ""Britney 2.0""",Yes,Britney 2.0,4
"""Everytime""",Britney Spears,Marley Rose,"2. ""Britney 2.0""",Yes,Britney 2.0,4
"""Everybody Wants to Rule the World""",Tears for Fears,Blaine Anderson,"3. ""Makeover""",Yes,The Complete Season Four[5],4
"""Celebrity Skin""",Hole,Brittany Pierce and Sam Evans,"3. ""Makeover""",Yes,The Complete Season Four[5],4
"""The Way You Look Tonight"" / ""You're Never Fully Dressed Without a Smile""",Fred Astaire / Annie,"Isabelle Wright, Kurt Hummel and Rachel Berry","3. ""Makeover""",Yes,The Complete Season Four[5],4
"""A Change Would Do You Good""",Sheryl Crow,Rachel Berry and Brody Weston,"3. ""Makeover""",Yes,The Complete Season Four[5],4
"""Barely Breathing""",Duncan Sheik,Blaine Anderson and Finn Hudson,"4. ""The Break Up""",Yes,The Complete Season Four[5],4
"""Give Your Heart a Break""",Demi Lovato,Rachel Berry and Brody Weston,"4. ""The Break Up""",Yes,"Season 4, Volume 1",4
"""Teenage Dream"" (Acoustic Version)",Katy Perry,Blaine Anderson,"4. ""The Break Up""",Yes,The Complete Season Four[5],4
"""Don't Speak""",No Doubt,"Finn Hudson, Blaine Anderson, Rachel Berry and Kurt Hummel","4. ""The Break Up""",Yes,The Complete Season Four[5],4
"""Mine""",Taylor Swift,Santana Lopez,"4. ""The Break Up""",Yes,"Season 4, Volume 1",4
"""The Scientist""",Coldplay,"Finn Hudson, Blaine Anderson, Santana Lopez, Kurt Hummel, Brittany Pierce, Will Schuester, Emma Pillsbury and Rachel Berry","4. ""The Break Up""",Yes,"Season 4, Volume 1",4
"""Hopelessly Devoted to You""",Grease,Blaine Anderson,"5. ""The Role You Were Born to Play""",Yes,Presents Glease,4
"""Blow Me (One Last Kiss)""",Pink,"Wade ""Unique"" Adams and Marley Rose","5. ""The Role You Were Born to Play""",Yes,The Complete Season Four[5],4
"""Juke Box Hero""",Foreigner,Finn Hudson and Ryder Lynn,"5. ""The Role You Were Born to Play""",Yes,The Complete Season Four[5],4
"""Everybody Talks""",Neon Trees,Jake Puckerman and Kitty Wilde,"5. ""The Role You Were Born to Play""",Yes,"Season 4, Volume 1",4
"""Born to Hand Jive""",Grease,"Mercedes Jones, Marley Rose, Jake Puckerman and Ryder Lynn with Wade ""Unique"" Adams, Mike Chang, Sam Evans, Joe Hart, Sugar Motta, Brittany Pierce and Kitty Wilde","5. ""The Role You Were Born to Play""",Yes,Presents Glease,4
"""Greased Lightnin'""",Grease,"Ryder Lynn and Sam Evans with Artie Abrams, Mike Chang, Joe Hart, Finn Hudson and Jake Puckerman","6. ""Glease""",Yes,Presents Glease,4
"""Look at Me, I'm Sandra Dee""",Grease,"Kitty Wilde with Wade ""Unique"" Adams, Tina Cohen-Chang, Sugar Motta and Brittany Pierce","6. ""Glease""",Yes,Presents Glease,4
"""Beauty School Dropout""",Grease,"Blaine Anderson with Tina Cohen-Chang, Santana Lopez, Sugar Motta, Brittany Pierce and Kitty Wilde","6. ""Glease""",Yes,Presents Glease,4
"""Look at Me, I'm Sandra Dee (Reprise)""",Grease,Marley Rose,"6. ""Glease""",Yes,Presents Glease,4
"""There Are Worse Things I Could Do""",Grease,"Santana Lopez, Cassandra July and Wade ""Unique"" Adams","6. ""Glease""",Yes,Presents Glease,4
"""You're the One That I Want""",Grease,"Ryder Lynn, Marley Rose, Finn Hudson, Rachel Berry, Santana Lopez, Blaine Anderson, Kurt Hummel and Brittany Pierce","6. ""Glease""",Yes,Presents Glease,4
"""Dark Side""",Kelly Clarkson,Blaine Anderson with Dalton Academy Warblers,"7. ""Dynamic Duets""",Yes,"Season 4, Volume 1",4
"""Superman""",R.E.M.,Jake Puckerman and Ryder Lynn,"7. ""Dynamic Duets""",Yes,The Complete Season Four[5],4
"""Holding Out for a Hero""",Bonnie Tyler,Kitty Wilde and Marley Rose with New Directions,"7. ""Dynamic Duets""",Yes,"Season 4, Volume 1",4
"""Heroes""",David Bowie,Sam Evans and Blaine Anderson,"7. ""Dynamic Duets""",Yes,"Season 4, Volume 1",4
"""Some Nights""",fun.,New Directions,"7. ""Dynamic Duets""",Yes,"Season 4, Volume 1",4
"""Homeward Bound"" / ""Home""",Simon & Garfunkel / Phillip Phillips,"Quinn Fabray, Noah Puckerman, Mike Chang, Santana Lopez, Mercedes Jones and Finn Hudson","8. ""Thanksgiving""",Yes,"Season 4, Volume 1",4
"""Come See About Me""",The Supremes,"Quinn Fabray, Santana Lopez and Brittany Pierce","8. ""Thanksgiving""",Yes,The Complete Season Four[5],4
"""Whistle""",Flo Rida,Hunter Clarington with Dalton Academy Warblers,"8. ""Thanksgiving""",Yes,The Complete Season Four[5],4
"""Live While We're Young""",One Direction,Sebastian Smythe with Dalton Academy Warblers,"8. ""Thanksgiving""",Yes,"Season 4, Volume 1",4
"""Let's Have a Kiki"" / ""Turkey Lurkey Time""[nb 1][nb 2]","Scissor Sisters / Promises, Promises","Isabelle Wright, Kurt Hummel and Rachel Berry with Isabelle's party guests and Brody Weston","8. ""Thanksgiving""",Yes,"Season 4, Volume 1",4
"""Over the River and Through the Wood"" / ""She'll Be Coming 'Round the Mountain""",Lydia Maria Child / Traditional,The Rosedale Mennonites,"8. ""Thanksgiving""",No,No,4
"""Gangnam Style""",PSY,Tina Cohen-Chang with New Directions,"8. ""Thanksgiving""",Yes,"Season 4, Volume 1",4
"""Somethin' Stupid""[nb 1]",Frank Sinatra and Nancy Sinatra,Sam Evans and Brittany Pierce,"9. ""Swan Song""",Yes,"Season 4, Volume 1",4
"""All That Jazz""",Chicago,Cassandra July and Rachel Berry with NYADA students,"9. ""Swan Song""",Yes,The Complete Season Four[5],4
"""Being Good Isn't Good Enough""",Barbra Streisand,Rachel Berry,"9. ""Swan Song""",Yes,The Complete Season Four[5],4
"""O Holy Night""",Traditional,Rachel Berry,"9. ""Swan Song""",Yes,The Christmas Album,4
"""Being Alive""",Company,Kurt Hummel,"9. ""Swan Song""",Yes,The Complete Season Four[5],4
"""Don't Dream It's Over""",Crowded House,"Finn Hudson, Marley Rose, Tina Cohen-Chang, Blaine Anderson, Sam Evans and Brittany Pierce with New Directions","9. ""Swan Song""",Yes,The Complete Season Four[5],4
"""Feliz Navidad""",José Feliciano,Artie Abrams,"10. ""Glee, Actually""",Yes,The Christmas Album Volume 3,4
"""White Christmas""",Bing Crosby with Ken Darby and John Scott Trotter,Blaine Anderson and Kurt Hummel,"10. ""Glee, Actually""",Yes,The Christmas Album Volume 3,4
"""Oh Hanukkah""",Barenaked Ladies,Jake Puckerman and Noah Puckerman,"10. ""Glee, Actually""",Yes,The Christmas Album Volume 3,4
"""Jingle Bell Rock""",Bobby Helms,Sam Evans with the McKinley High Cheerios,"10. ""Glee, Actually""",Yes,The Christmas Album Volume 3,4
"""The First Noël""",Traditional,Marley Rose,"10. ""Glee, Actually""",Yes,The Christmas Album Volume 3,4
"""Have Yourself a Merry Little Christmas""",Judy Garland,"Marley Rose, Noah Puckerman, Jake Puckerman, Sam Evans, Brittany Pierce, Blaine Anderson and Kurt Hummel with Finn Hudson and New Directions","10. ""Glee, Actually""",Yes,The Christmas Album Volume 3,4
"""I Don't Know How to Love Him""",Jesus Christ Superstar,Tina Cohen-Chang,"11. ""Sadie Hawkins""",Yes,The Complete Season Four[5],4
"""Baby Got Back""",Jonathan Coulton,Adam's Apples,"11. ""Sadie Hawkins""",Yes,The Complete Season Four[5],4
"""Tell Him""",The Exciters,Marley Rose and Brittany Pierce with New Directions females,"11. ""Sadie Hawkins""",Yes,The Complete Season Four[5],4
"""No Scrubs""",TLC,"Artie Abrams, Blaine Anderson, Ryder Lynn, Sam Evans and Joe Hart","11. ""Sadie Hawkins""",Yes,The Complete Season Four[5],4
"""Locked Out of Heaven""",Bruno Mars,"Marley Rose and Wade ""Unique"" Adams with Tina Cohen-Chang, Sugar Motta and Brittany Pierce","11. ""Sadie Hawkins""",Yes,The Complete Season Four[5],4
"""I Only Have Eyes for You""",The Flamingos,Ryder Lynn with Artie Abrams and Joe Hart,"11. ""Sadie Hawkins""",Yes,The Complete Season Four[5],4
"""Torn""",Natalie Imbruglia,Rachel Berry,"12. ""Naked""",Yes,The Complete Season Four[5],4
"""Centerfold"" / ""Hot in Herre""",The J. Geils Band / Nelly,"Sam Evans, Jake Puckerman, Ryder Lynn, and Kitty Wilde with Blaine Anderson, Joe Hart and the McKinley High Cheerios","12. ""Naked""",Yes,The Complete Season Four[5],4
"""A Thousand Years""",Christina Perri,Marley Rose and Jake Puckerman,"12. ""Naked""",Yes,The Complete Season Four[5],4
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,Jake Puckerman,"12. ""Naked""",Yes,The Complete Season Four[5],4
"""Love Song""",Sara Bareilles,"Rachel Berry, Quinn Fabray and Santana Lopez","12. ""Naked""",Yes,The Complete Season Four[5],4
"""This Is the New Year""",A Great Big World,New Directions,"12. ""Naked""",Yes,The Complete Season Four[5],4
"""Diva""",Beyoncé,"Wade ""Unique"" Adams, Brittany Pierce and Tina Cohen-Chang with Blaine Anderson, Marley Rose and Kitty Wilde","13. ""Diva""",Yes,The Complete Season Four[5],4
"""Don't Stop Me Now""",Queen,Blaine Anderson with New Directions,"13. ""Diva""",Yes,The Complete Season Four[5],4
"""Nutbush City Limits""",Ike & Tina Turner,Santana Lopez with Louisville cheerleaders,"13. ""Diva""",Yes,The Complete Season Four[5],4
"""Make No Mistake, She's Mine""",Kenny Rogers and Ronnie Milsap,Santana Lopez and Sam Evans,"13. ""Diva""",Yes,The Complete Season Four[5],4
"""Bring Him Home""",Les Misérables,Kurt Hummel and Rachel Berry,"13. ""Diva""",Yes,The Complete Season Four[5],4
"""Hung Up""",Madonna,Tina Cohen-Chang,"13. ""Diva""",Yes,The Complete Season Four[5],4
"""Girl on Fire""",Alicia Keys,Santana Lopez,"13. ""Diva""",Yes,The Complete Season Four[5],4
"""You're All I Need to Get By""",Marvin Gaye and Tammi Terrell,"Jake Puckerman and Marley Rose with Artie Abrams, Sam Evans and Ryder Lynn","14. ""I Do""",Yes,The Complete Season Four[5],4
"""Getting Married Today""",Company,"Will Schuester, Emma Pillsbury and Mercedes Jones with the wedding congregation","14. ""I Do""",Yes,The Complete Season Four[5],4
"""Just Can't Get Enough""",Depeche Mode,Blaine Anderson and Kurt Hummel with Brittany Pierce and Marley Rose,"14. ""I Do""",Yes,The Complete Season Four[5],4
"""We've Got Tonite""",Kenny Rogers and Sheena Easton,"Finn Hudson, Rachel Berry, Kurt Hummel, Blaine Anderson, Marley Rose, Jake Puckerman, Quinn Fabray, Santana Lopez, Artie Abrams and Betty Pillsbury","14. ""I Do""",Yes,The Complete Season Four[5],4
"""Anything Could Happen""",Ellie Goulding,"Marley Rose, Artie Abrams and Jake Puckerman with New Directions","14. ""I Do""",Yes,The Complete Season Four[5],4
"""You're All the World to Me""",Royal Wedding,Will Schuester and Emma Pillsbury,"15. ""Girls (and Boys) On Film""",Yes,The Complete Season Four[5],4
"""Shout""",The Isley Brothers,Blaine Anderson and Brittany Pierce with New Directions,"15. ""Girls (and Boys) On Film""",Yes,The Complete Season Four[5],4
"""Come What May""",Nicole Kidman and Ewan McGregor,Blaine Anderson and Kurt Hummel,"15. ""Girls (and Boys) On Film""",Yes,The Complete Season Four[5],4
"""Old Time Rock and Roll"" / ""Danger Zone""",Bob Seger / Kenny Loggins,Blaine Anderson and Sam Evans with New Directions males,"15. ""Girls (and Boys) On Film""",Yes,The Complete Season Four[5],4
"""Diamonds Are a Girl's Best Friend"" / ""Material Girl""",Marilyn Monroe / Madonna,"Wade ""Unique"" Adams and Marley Rose with New Directions females","15. ""Girls (and Boys) On Film""",Yes,The Complete Season Four[5],4
"""In Your Eyes""",Peter Gabriel,Will Schuester with New Directions,"15. ""Girls (and Boys) On Film""",Yes,The Complete Season Four[5],4
"""Unchained Melody""",The Righteous Brothers,Jake Puckerman and Ryder Lynn,"15. ""Girls (and Boys) On Film""",Yes,The Complete Season Four[5],4
"""Footloose""",Kenny Loggins,Sam Evans and Artie Abrams with New Directions,"15. ""Girls (and Boys) On Film""",Yes,The Complete Season Four[5],4
"""How to Be a Heartbreaker""",Marina and the Diamonds,Brody Weston and Rachel Berry with escorts and female clients,"16. ""Feud""",Yes,The Complete Season Four[5],4
"""The Bitch Is Back"" / ""Dress You Up""",Elton John / Madonna,"Ryder Lynn and Wade ""Unique"" Adams with New Directions","16. ""Feud""",Yes,The Complete Season Four[5],4
"""Cold Hearted""",Paula Abdul,Santana Lopez with NYADA students,"16. ""Feud""",Yes,The Complete Season Four[5],4
"""Bye Bye Bye"" / ""I Want It That Way""",'N Sync / Backstreet Boys,Will Schuester and Finn Hudson with New Directions males,"16. ""Feud""",Yes,The Complete Season Four[5],4
"""I Still Believe"" / ""Super Bass""",Mariah Carey / Nicki Minaj,Blaine Anderson and Sue Sylvester with the McKinley High Cheerios,"16. ""Feud""",Yes,The Complete Season Four[5],4
"""Closer""",Tegan and Sara,Ryder Lynn and Jake Puckerman with New Directions,"16. ""Feud""",Yes,The Complete Season Four[5],4
"""Wake Me Up Before You Go-Go""",Wham!,Blaine Anderson and Sam Evans with New Directions,"17. ""Guilty Pleasures""",Yes,The Complete Season Four[5],4
"""Copacabana""",Barry Manilow,Sam Evans with New Directions,"17. ""Guilty Pleasures""",Yes,The Complete Season Four[5],4
"""Against All Odds (Take a Look at Me Now)""",Phil Collins,Blaine Anderson,"17. ""Guilty Pleasures""",Yes,The Complete Season Four[5],4
"""Wannabe""",Spice Girls,New Directions females,"17. ""Guilty Pleasures""",Yes,The Complete Season Four[5],4
"""My Prerogative""",Bobby Brown,Jake Puckerman with New Directions,"17. ""Guilty Pleasures""",Yes,The Complete Season Four[5],4
"""Creep""",Radiohead,Brody Weston and Rachel Berry,"17. ""Guilty Pleasures""",Yes,The Complete Season Four[5],4
"""Mamma Mia""",ABBA,"Rachel Berry, Santana Lopez, Kitty Wilde, Marley Rose, Sam Evans, Blaine Anderson and Wade ""Unique"" Adams with Kurt Hummel and New Directions","17. ""Guilty Pleasures""",Yes,The Complete Season Four[5],4
"""Your Song""",Elton John,Ryder Lynn,"18. ""Shooting Star""",Yes,The Complete Season Four[5],4
"""More Than Words""",Extreme,Sam Evans and Brittany Pierce with New Directions,"18. ""Shooting Star""",Yes,The Complete Season Four[5],4
"""Say""",John Mayer,New Directions,"18. ""Shooting Star""",Yes,The Complete Season Four[5],4
"""Next to Me""",Emeli Sandé,Shelby Corcoran and Rachel Berry,"19. ""Sweet Dreams""",Yes,The Complete Season Four[5],4
"""(You Gotta) Fight for Your Right (To Party!)""",Beastie Boys,Finn Hudson and Noah Puckerman with fraternity partygoers,"19. ""Sweet Dreams""",Yes,The Complete Season Four[5],4
"""You Have More Friends Than You Know""",Jeff Marx,"Marley Rose, Blaine Anderson, Wade ""Unique"" Adams and Sam Evans","19. ""Sweet Dreams""",Yes,The Complete Season Four[5],4
"""Don't Stop Believin'""",Journey,Rachel Berry with original New Directions,"19. ""Sweet Dreams""",Yes,The Complete Season Four[5],4
"""Outcast""",Original composition,"Marley Rose, Jake Puckerman, Wade ""Unique"" Adams and Ryder Lynn with New Directions","19. ""Sweet Dreams""",Yes,The Complete Season Four[5],4
"""The Star-Spangled Banner""",Traditional,Frida Romero,"20. ""Lights Out""",No,No,4
"""You've Lost That Lovin' Feelin'""",The Righteous Brothers,Sam Evans and Ryder Lynn with New Directions,"20. ""Lights Out""",Yes,The Complete Season Four[5],4
"""Everybody Hurts""",R.E.M.,Ryder Lynn,"20. ""Lights Out""",Yes,The Complete Season Four[5],4
"""We Will Rock You""",Queen,New Directions,"20. ""Lights Out""",Yes,The Complete Season Four[5],4
"""Little Girls""",Annie,Sue Sylvester,"20. ""Lights Out""",Yes,The Complete Season Four[5],4
"""At the Ballet""",A Chorus Line,"Santana Lopez, Kurt Hummel, Rachel Berry and Isabelle Wright","20. ""Lights Out""",Yes,The Complete Season Four[5],4
"""The Longest Time""",Billy Joel,"Artie Abrams, Kitty Wilde, Sam Evans, Marley Rose, Ryder Lynn and Jake Puckerman with New Directions","20. ""Lights Out""",Yes,The Complete Season Four[5],4
"""Signed, Sealed, Delivered I'm Yours""",Stevie Wonder,Kitty Wilde with New Directions,"21. ""Wonder-ful""",Yes,The Complete Season Four[5],4
"""Superstition""",Stevie Wonder,"Mercedes Jones, Marley Rose and Blaine Anderson with New Directions","21. ""Wonder-ful""",Yes,The Complete Season Four[5],4
"""You Are the Sunshine of My Life""",Stevie Wonder,"Kurt Hummel with Tina Cohen-Chang, Marley Rose and Kitty Wilde","21. ""Wonder-ful""",Yes,The Complete Season Four[5],4
"""I Wish""",Stevie Wonder,"Jake Puckerman with Mike Chang, Marley Rose and New Directions","21. ""Wonder-ful""",Yes,The Complete Season Four[5],4
"""Uptight (Everything's Alright)""",Stevie Wonder,Cassandra July with NYADA students,"21. ""Wonder-ful""",Yes,The Complete Season Four[5],4
"""Higher Ground""",Stevie Wonder,Mercedes Jones,"21. ""Wonder-ful""",Yes,The Complete Season Four[5],4
"""For Once in My Life""",Stevie Wonder,"Artie Abrams with Kitty Wilde, Blaine Anderson, Tina Cohen-Chang, Ryder Lynn, Sam Evans, Marley Rose, Wade ""Unique"" Adams and New Directions","21. ""Wonder-ful""",Yes,The Complete Season Four[5],4
"""To Love You More""",Celine Dion,Rachel Berry,"22. ""All or Nothing""",Yes,The Complete Season Four[5],4
"""Rainbow Connection""",Kermit the Frog,The Waffletoots,"22. ""All or Nothing""",Yes,The Complete Season Four[5],4
"""Clarity""",Zedd feat. Foxes,Frida Romero and The Hoosierdaddies,"22. ""All or Nothing""",Yes,The Complete Season Four[5],4
"""Wings""",Little Mix,Frida Romero and The Hoosierdaddies,"22. ""All or Nothing""",Yes,The Complete Season Four[5],4
"""Hall of Fame""",The Script feat. will.i.am,"Jake Puckerman, Ryder Lynn, Sam Evans, Joe Hart and Artie Abrams with New Directions","22. ""All or Nothing""",Yes,The Complete Season Four[5],4
"""I Love It""",Icona Pop feat. Charli XCX,"Tina Cohen-Chang, Kitty Wilde, Marley Rose, Wade ""Unique"" Adams, Sugar Motta and Brittany Pierce with New Directions","22. ""All or Nothing""",Yes,The Complete Season Four[5],4
"""All or Nothing""",Original composition,Marley Rose and Blaine Anderson with New Directions,"22. ""All or Nothing""",Yes,The Complete Season Four[5],4
"""Yesterday""",The Beatles,Rachel Berry,"1. ""Love, Love, Love""",Yes,Sings the Beatles,5
"""Drive My Car""",The Beatles,Artie Abrams and Kitty Wilde with New Directions,"1. ""Love, Love, Love""",Yes,Sings the Beatles,5
"""Got to Get You into My Life""",The Beatles,Kurt Hummel and Blaine Anderson with the McKinley High marching band,"1. ""Love, Love, Love""",Yes,Sings the Beatles,5
"""You've Got to Hide Your Love Away""",The Beatles,Artie Abrams and Kitty Wilde,"1. ""Love, Love, Love""",Yes,Sings the Beatles,5
"""Help!""",The Beatles,"Blaine Anderson and Sam Evans with New Directions, Vocal Adrenaline, Haverbrook School for the Deaf and Dalton Academy Warblers","1. ""Love, Love, Love""",Yes,Sings the Beatles,5
"""A Hard Day's Night""",The Beatles,Rachel Berry and Santana Lopez with Spotlight Diner co-workers,"1. ""Love, Love, Love""",Yes,Sings the Beatles,5
"""I Saw Her Standing There""",The Beatles,New Directions Males except Artie Abrams,"1. ""Love, Love, Love""",Yes,Sings the Beatles,5
"""All You Need Is Love/She Loves You""",The Beatles,"Blaine Anderson with New Directions, Dalton Academy Warblers, Vocal Adrenaline, Haverbrook School for the Deaf, Rachel Berry, Burt Hummel, Mercedes Jones, Santana Lopez and Will Schuester","1. ""Love, Love, Love""",Yes,Sings the Beatles,5
"""Revolution""",The Beatles,Tina Cohen-Chang,"2. ""Tina in the Sky with Diamonds""",No,N/A,5
