List of songs in Glee season one,,,,,,
"""Get Back""",The Beatles,Kurt Hummel and Rachel Berry with NYADA students,"2. ""Tina in the Sky with Diamonds""",Yes,Sings the Beatles,5
"""Something""",The Beatles,Sam Evans with Ryder Lynn and Jake Puckerman,"2. ""Tina in the Sky with Diamonds""",Yes,Sings the Beatles,5
"""Here Comes the Sun""",The Beatles,Dani and Santana Lopez,"2. ""Tina in the Sky with Diamonds""",Yes,Sings the Beatles,5
"""Sgt. Pepper's Lonely Hearts Club Band""",The Beatles,"Jake Puckerman, Ryder Lynn, Wade ""Unique"" Adams and Marley Rose","2. ""Tina in the Sky with Diamonds""",Yes,Sings the Beatles,5
"""Hey Jude""",The Beatles,"Blaine Anderson, Kitty Wilde, Tina Cohen-Chang and Sam Evans with New Directions","2. ""Tina in the Sky with Diamonds""",Yes,Sings the Beatles,5
"""Let It Be""",The Beatles,"Rachel Berry, Santana Lopez, Kurt Hummel and New Directions","2. ""Tina in the Sky with Diamonds""",Yes,Sings the Beatles,5
"""Seasons of Love""",Rent,"Mercedes Jones, Santana Lopez, Kurt Hummel, Noah Puckerman, Mike Chang, Tina Cohen-Chang and New Directions","3. ""The Quarterback""",Yes,The Quarterback,5
"""I'll Stand by You""",The Pretenders,Mercedes Jones with New Directions,"3. ""The Quarterback""",Yes,The Quarterback,5
"""Fire and Rain""",James Taylor,Artie Abrams and Sam Evans with New Directions,"3. ""The Quarterback""",Yes,The Quarterback,5
"""If I Die Young""",The Band Perry,Santana Lopez with New Directions,"3. ""The Quarterback""",Yes,The Quarterback,5
"""No Surrender""",Bruce Springsteen,Noah Puckerman,"3. ""The Quarterback""",Yes,The Quarterback,5
"""Make You Feel My Love""",Adele,Rachel Berry,"3. ""The Quarterback""",Yes,The Quarterback,5
"""Marry the Night""",Lady Gaga,"Elliott ""Starchild"" Gilbert","4. ""A Katy or a Gaga""",Yes,A Katy or a Gaga,5
"""Applause""",Lady Gaga,"Sam Evans, Blaine Anderson, Artie Abrams, Ryder Lynn and Marley Rose","4. ""A Katy or a Gaga""",Yes,A Katy or a Gaga,5
"""Wide Awake""",Katy Perry,"Jake Puckerman, Tina Cohen-Chang, Kitty Wilde and Wade ""Unique"" Adams","4. ""A Katy or a Gaga""",Yes,A Katy or a Gaga,5
"""Roar""",Katy Perry,"Tina Cohen-Chang, Wade ""Unique"" Adams, Kitty Wilde, Sam Evans, Rachel Berry, Elliott ""Starchild"" Gilbert, Dani and Santana Lopez with New Directions and Kurt Hummel","4. ""A Katy or a Gaga""",Yes,A Katy or a Gaga,5
"""You Are Woman, I Am Man""",Funny Girl,Paolo San Pablo and Rachel Berry,"5. ""The End of Twerk""",Yes,TBA,5
"""Blurred Lines""",Robin Thicke feat. T.I. and Pharrell,"Will Schuester, Artie Abrams, Jake Puckerman and Bree with New Directions and McKinley High students","5. ""The End of Twerk""",Yes,TBA,5
"""If I Were a Boy""",Beyoncé,"Wade ""Unique"" Adams","5. ""The End of Twerk""",Yes,TBA,5
"""Wrecking Ball""",Miley Cyrus,Marley Rose,"5. ""The End of Twerk""",Yes,TBA,5
"""On Our Way""",The Royal Concept,New Directions,"5. ""The End of Twerk""",Yes,TBA,5
"""Movin' Out (Anthony's Song)""",Billy Joel,Blaine Anderson and Sam Evans with New Directions,"6. ""Movin' Out""",Yes,Movin' Out,5
"""Piano Man""",Billy Joel,Blaine Anderson with Spotlight Diner patrons and employees,"6. ""Movin' Out""",Yes,Movin' Out,5
"""My Life""",Billy Joel,Jake Puckerman with New Directions females and the McKinley High Cheerios,"6. ""Movin' Out""",Yes,Movin' Out,5
"""Honesty""",Billy Joel,Artie Abrams,"6. ""Movin' Out""",Yes,Movin' Out,5
"""An Innocent Man""",Billy Joel,Ryder Lynn,"6. ""Movin' Out""",Yes,Movin' Out,5
"""Just the Way You Are""",Billy Joel,"Kurt Hummel, Blaine Anderson, Rachel Berry, Sam Evans and Santana Lopez","6. ""Movin' Out""",Yes,Movin' Out,5
"""You May Be Right""",Billy Joel,"Will Schuester, Artie Abrams, Kitty Wilde, Ryder Lynn and Jake Puckerman with New Directions and McKinley High students","6. ""Movin' Out""",Yes,Movin' Out,5
"""Into the Groove""",Madonna,Pamela Lansbury,"7. ""Puppet Master""",Yes,TBA,5
"""You're My Best Friend""",Queen,Blaine Anderson with New Directions puppets,"7. ""Puppet Master""",Yes,TBA,5
"""Nasty"" / ""Rhythm Nation""",Janet Jackson,"Jake Puckerman, Marley Rose and Bree with the McKinley High Cheerios","7. ""Puppet Master""",Yes,TBA,5
"""Cheek to Cheek""",Fred Astaire,Will Schuester and Sue Sylvester,"7. ""Puppet Master""",Yes,TBA,5
"""The Fox (What Does the Fox Say?)""",Ylvis,New Directions and Pamela Lansbury,"7. ""Puppet Master""",Yes,TBA,5
"""Here Comes Santa Claus""",Bing Crosby and The Andrews Sisters,"Kurt Hummel, Santana Lopez and Rachel Berry with mall elves","8. ""Previously Unaired Christmas""",Yes,The Christmas Album Volume 4,5
"""Rockin' Around the Christmas Tree""",Brenda Lee,"Artie Abrams, Will Schuester, Jake Puckerman, Kitty Wilde and Marley Rose with New Directions","8. ""Previously Unaired Christmas""",Yes,The Christmas Album Volume 4,5
"""Mary's Boy Child""",Boney M.,"Marley Rose, Wade ""Unique"" Adams and Tina Cohen-Chang","8. ""Previously Unaired Christmas""",Yes,The Christmas Album Volume 4,5
"""The Chipmunk Song (Christmas Don't Be Late)""",Alvin and the Chipmunks,"Rachel Berry, Kurt Hummel and Santana Lopez with Cody Tolentino","8. ""Previously Unaired Christmas""",Yes,The Christmas Album Volume 4,5
"""Love Child""",Diana Ross & the Supremes,"Wade ""Unique"" Adams with Tina Cohen-Chang, Marley Rose and New Directions except Kitty Wilde","8. ""Previously Unaired Christmas""",Yes,The Christmas Album Volume 4,5
"""Away in a Manger""",Traditional,"Santana Lopez, Rachel Berry, Kurt Hummel and Kitty Wilde with New Directions","8. ""Previously Unaired Christmas""",Yes,The Christmas Album Volume 4,5
"""Whenever I Call You Friend""",Kenny Loggins and Stevie Nicks,Artie Abrams and Tina Cohen-Chang with New Directions,"9. ""Frenemies""",Yes,TBA,5
"""Brave""",Sara Bareilles,Santana Lopez and Rachel Berry,"9. ""Frenemies""",Yes,TBA,5
"""My Lovin' (You're Never Gonna Get It)""",En Vogue,Artie Abrams and Tina Cohen-Chang with New Directions and Will Schuester,"9. ""Frenemies""",Yes,TBA,5
"""Beautiful Dreamer""",Stephen Foster,Funny Girl understudy auditionee,"9. ""Frenemies""",No,TBA,5
"""Don't Rain on My Parade""",Funny Girl,Santana Lopez,"9. ""Frenemies""",Yes,TBA,5
"""I Believe in a Thing Called Love""",The Darkness,"Elliott ""Starchild"" Gilbert and Kurt Hummel","9. ""Frenemies""",Yes,TBA,5
"""Every Breath You Take""",The Police,Rachel Berry and Santana Lopez,"9. ""Frenemies""",Yes,TBA,5
"""Breakaway""",Kelly Clarkson,"Tina Cohen-Chang, Artie Abrams and Blaine Anderson with New Directions","9. ""Frenemies""",Yes,TBA,5
"""Jumpin', Jumpin'""",Destiny's Child,"Tina Cohen-Chang, Blaine Anderson and Sam Evans","10. ""Trio""",Yes,TBA,5
"""Barracuda""",Heart,"Elliott ""Starchild"" Gilbert and Rachel Berry","10. ""Trio""",Yes,TBA,5
"""Don't You (Forget About Me)""",Simple Minds,"Sam Evans, Blaine Anderson and Tina Cohen-Chang","10. ""Trio""",Yes,TBA,5
"""Danny's Song""",Loggins and Messina,Will Schuester and Emma Pillsbury,"10. ""Trio""",Yes,TBA,5
"""Gloria""",Laura Branigan,"Santana Lopez, Elliott ""Starchild"" Gilbert and Rachel Berry","10. ""Trio""",Yes,TBA,5
"""The Happening""",The Supremes,"Kurt Hummel, Dani and Elliott ""Starchild"" Gilbert","10. ""Trio""",Yes,TBA,5
"""Hold On""",Wilson Phillips,"Tina Cohen-Chang, Blaine Anderson, Artie Abrams, Sam Evans, Kurt Hummel, Elliott ""Starchild"" Gilbert, Rachel Berry, Santana Lopez and Dani","10. ""Trio""",Yes,TBA,5
"""I Love L.A.""",Randy Newman,"Will Schuester, Blaine Anderson, Artie Abrams, Sam Evans and Jake Puckerman with New Directions","11. ""City of Angels""",Yes,City of Angels,5
"""Vacation""",The Go-Go's,The Amazonians,"11. ""City of Angels""",Yes,City of Angels,5
"""Mr. Roboto"" / ""Counting Stars""",Styx / OneRepublic,Jean-Baptiste and Throat Explosion,"11. ""City of Angels""",Yes,City of Angels,5
"""More Than a Feeling""",Boston,Blaine Anderson and Tina Cohen-Chang with New Directions,"11. ""City of Angels""",Yes,City of Angels,5
"""America""",Neil Diamond,"Artie Abrams, Sam Evans, Kitty Wilde, and Wade ""Unique"" Adams with New Directions","11. ""City of Angels""",Yes,City of Angels,5
"""I Still Haven't Found What I'm Looking For""",U2,"Sam Evans, Blaine Anderson, Artie Abrams and Tina Cohen-Chang with New Directions","11. ""City of Angels""",Yes,City of Angels,5
"""Raise Your Glass""",Pink,April Rhodes and Will Schuester with original and current New Directions members,"12. ""100""",Yes,Celebrating 100 Episodes,5
"""Toxic""",Britney Spears,"Quinn Fabray, Santana Lopez and Brittany Pierce","12. ""100""",Yes,Celebrating 100 Episodes,5
"""Defying Gravity""",Wicked,"Mercedes Jones, Kurt Hummel and Rachel Berry","12. ""100""",Yes,Celebrating 100 Episodes,5
"""Valerie""",Mark Ronson feat. Amy Winehouse,Santana Lopez and Brittany Pierce with Mike Chang and Jake Puckerman,"12. ""100""",Yes,Celebrating 100 Episodes,5
"""Keep Holding On""",Avril Lavigne,Noah Puckerman with original and current New Directions members,"12. ""100""",Yes,Celebrating 100 Episodes,5
"""Happy""",Pharrell Williams,"Holly Holliday, April Rhodes, Will Schuester, Blaine Anderson and Mercedes Jones with original and current New Directions members","12. ""100""",Yes,Celebrating 100 Episodes,5
"""I Am Changing""",Dreamgirls,Kurt Hummel and Mercedes Jones,"13. ""New Directions""",Yes,Celebrating 100 Episodes,5
"""Party All the Time""",Eddie Murphy,Holly Holliday with current and former McKinley High students and Will Schuester,"13. ""New Directions""",Yes,Celebrating 100 Episodes,5
"""Loser like Me (Acoustic)""",Original composition,"Blaine Anderson, Sam Evans, Tina Cohen-Chang and Artie Abrams","13. ""New Directions""",Yes,Celebrating 100 Episodes,5
"""Be Okay""",Oh Honey,Rachel Berry and Santana Lopez,"13. ""New Directions""",Yes,Celebrating 100 Episodes,5
"""Just Give Me a Reason""",Pink feat. Nate Ruess,Quinn Fabray and Noah Puckerman,"13. ""New Directions""",Yes,Celebrating 100 Episodes,5
"""Don't Stop Believin'""",Journey,"Rachel Berry, Blaine Anderson, Artie Abrams, Tina Cohen-Chang, Kurt Hummel, and Will Schuester with New Directions","13. ""New Directions""",Yes,Celebrating 100 Episodes,5
"""Downtown""",Petula Clark,"Rachel Berry, Kurt Hummel, Blaine Anderson, Artie Abrams and Sam Evans","14. ""New New York""",Yes,New New York,5
"""You Make Me Feel So Young""",Frank Sinatra,Blaine Anderson and Kurt Hummel,"14. ""New New York""",Yes,New New York,5
"""Best Day of My Life""",American Authors,Blaine Anderson and Sam Evans with Beat Club Crew dancers,"14. ""New New York""",Yes,New New York,5
"""Rockstar""",A Great Big World,"Elliott ""Starchild"" Gilbert and Kurt Hummel","14. ""New New York""",Yes,New New York,5
"""Don't Sleep in the Subway""",Petula Clark,Rachel Berry and Artie Abrams with subway riders,"14. ""New New York""",Yes,New New York,5
"""People""",Funny Girl,Rachel Berry,"14. ""New New York""",Yes,New New York,5
"""No One Is Alone""",Into the Woods,"Rachel Berry, Kurt Hummel and Blaine Anderson","15. ""Bash""",Yes,Bash,5
"""(You Make Me Feel Like) A Natural Woman""",Aretha Franklin,Mercedes Jones,"15. ""Bash""",Yes,Bash,5
"""Broadway Baby""",Follies,Rachel Berry and Blaine Anderson,"15. ""Bash""",Yes,Bash,5
"""Not While I'm Around""",Sweeney Todd: The Demon Barber of Fleet Street,"Blaine Anderson, Rachel Berry, Mercedes Jones, and Sam Evans","15. ""Bash""",Yes,Bash,5
"""Colorblind""",Amber Riley,Mercedes Jones,"15. ""Bash""",Yes,Bash,5
"""I'm Still Here""",Follies,Kurt Hummel,"15. ""Bash""",Yes,Bash,5
"""Addicted to Love""",Robert Palmer,"Artie Abrams with Jessica, Julie, Vanessa and female admirers","16. ""Tested""",Yes,Tested,5
"""I Want to Know What Love Is""",Foreigner,Mercedes Jones with church choir,"16. ""Tested""",Yes,Tested,5
"""Love Is a Battlefield""",Pat Benatar,Blaine Anderson and Kurt Hummel,"16. ""Tested""",Yes,Tested,5
"""Let's Wait Awhile""",Janet Jackson,Mercedes Jones and Artie Abrams with Sam Evans,"16. ""Tested""",Yes,Tested,5
"""Lovefool""",The Cardigans,"Rachel Berry with Blaine Anderson, Tina Cohen-Chang, Sam Evans, Kurt Hummel and Santana Lopez","17. ""Opening Night""",Yes,Opening Night,5
"""N.Y.C.""",Annie,Sue Sylvester and Will Schuester,"17. ""Opening Night""",Yes,Opening Night,5
"""I'm the Greatest Star""",Funny Girl,Rachel Berry,"17. ""Opening Night""",Yes,Opening Night,5
"""Who Are You Now?""",Funny Girl,Rachel Berry and Sue Sylvester,"17. ""Opening Night""",Yes,Opening Night,5
"""Pumpin Blood""",NONONO,Rachel Berry with Mercedes Jones and Santana Lopez,"17. ""Opening Night""",Yes,Opening Night,5
"""Wake Me Up""",Avicii feat. Aloe Blacc,Rachel Berry,"18. ""Back-up Plan""",Yes,The Back-Up Plan,5
"""Doo Wop (That Thing)""",Lauryn Hill,Mercedes Jones and Santana Lopez,"18. ""Back-up Plan""",Yes,The Back-Up Plan,5
"""Story of My Life""",One Direction,Kurt Hummel and Blaine Anderson,"18. ""Back-up Plan""",Yes,The Back-Up Plan,5
"""Piece of My Heart""",Big Brother and the Holding Company,June Dolloway and Blaine Anderson,"18. ""Back-up Plan""",Yes,The Back-Up Plan,5
"""The Rose""",Bette Midler,Rachel Berry,"18. ""Back-up Plan""",Yes,The Back-Up Plan,5
"""I Melt with You""",Modern English,"Sam Evans, Rachel Berry and Mercedes Jones with Artie Abrams","19. ""Old Dog, New Tricks""",Yes,"Old Dog, New Tricks",5
"""Memory""",Cats,Kurt Hummel and Maggie Banks with Lexington Home retirees,"19. ""Old Dog, New Tricks""",Yes,"Old Dog, New Tricks",5
"""Werewolves of London""",Warren Zevon,Sam Evans and Artie Abrams,"19. ""Old Dog, New Tricks""",Yes,"Old Dog, New Tricks",5
"""Lucky Star""",Madonna,Kurt Hummel and Maggie Banks with Lexington Home retirees,"19. ""Old Dog, New Tricks""",Yes,"Old Dog, New Tricks",5
"""Take Me Home Tonight""",Eddie Money,"Artie Abrams, Blaine Anderson, Maggie Banks, Rachel Berry, Sam Evans, Kurt Hummel, Mercedes Jones and Santana Lopez with Lexington Home retirees","19. ""Old Dog, New Tricks""",Yes,"Old Dog, New Tricks",5
"""Shakin' My Head""",Original composition,Mercedes Jones with Brittany Pierce and backup dancers,"20. ""The Untitled Rachel Berry Project""",Yes,The Untitled Rachel Berry Project,5
"""All of Me""",John Legend,Blaine Anderson,"20. ""The Untitled Rachel Berry Project""",Yes,The Untitled Rachel Berry Project,5
"""Girls on Film""",Duran Duran,Sam Evans with Charlie Darlene and female models,"20. ""The Untitled Rachel Berry Project""",Yes,The Untitled Rachel Berry Project,5
"""Glitter in the Air""",Pink,Rachel Berry,"20. ""The Untitled Rachel Berry Project""",Yes,The Untitled Rachel Berry Project'',5
"""No Time at All""",Pippin,June Dolloway and Blaine Anderson with concert audience,"20. ""The Untitled Rachel Berry Project""",Yes,The Untitled Rachel Berry Project,5
"""American Boy""",Estelle feat. Kanye West,Blaine Anderson and Kurt Hummel,"20. ""The Untitled Rachel Berry Project""",Yes,The Untitled Rachel Berry Project,5
"""Pompeii""",Bastille,"Rachel Berry, Kurt Hummel, Mercedes Jones, Blaine Anderson, Sam Evans, Artie Abrams,and Brittany Pierce with New York citizens","20. ""The Untitled Rachel Berry Project""",Yes,The Untitled Rachel Berry Project,5
"""Uninvited""",Alanis Morissette,Rachel Berry,"1. ""Loser Like Me""",Yes,Loser Like Me,6
"""Suddenly Seymour""",Little Shop of Horrors,Blaine Anderson and Rachel Berry,"1. ""Loser Like Me""",Yes,Loser Like Me,6
"""Sing""",Ed Sheeran,"Skylar, Blaine Anderson and Dalton Academy Warblers","1. ""Loser Like Me""",Yes,Loser Like Me,6
"""Dance the Night Away""",Van Halen,Clint and Vocal Adrenaline,"1. ""Loser Like Me""",Yes,Loser Like Me,6
"""Let It Go""",Idina Menzel,Rachel Berry,"1. ""Loser Like Me""",Yes,Loser Like Me,6
"""Viva Voce""",The Rocketboys,Roderick,"2. ""Homecoming""",No,No,6
"""Take On Me""",A-ha,New Directions alumni,"2. ""Homecoming""",Yes,Homecoming,6
"""Tightrope""",Janelle Monáe feat. Big Boi,Jane Hayward with Dalton Academy Warblers,"2. ""Homecoming""",Yes,Homecoming,6
"""Problem""",Ariana Grande feat. Iggy Azalea,"Quinn Fabray, Brittany Pierce and Santana Lopez with Artie Abrams and McKinley High Cheerios","2. ""Homecoming""",Yes,Homecoming,6
"""Mustang Sally""",Wilson Pickett,"Roderick with Quinn Fabray, Santana Lopez and Brittany Pierce","2. ""Homecoming""",Yes,Homecoming,6
"""Home""",Edward Sharpe and the Magnetic Zeros,"New Directions alumni, New Directions and Spencer Porter","2. ""Homecoming""",Yes,Homecoming,6
"""It's Too Late""",Carole King,Kurt Hummel and Blaine Anderson,"3. ""Jagged Little Tapestry""",Yes,Jagged Little Tapestry,6
"""Hand in My Pocket"" / ""I Feel the Earth Move""",Alanis Morissette / Carole King,Santana Lopez and Brittany Pierce,"3. ""Jagged Little Tapestry""",Yes,Jagged Little Tapestry,6
"""Will You Love Me Tomorrow"" / ""Head over Feet""",Carole King / Alanis Morissette,Jane Hayward and Mason McCarthy,"3. ""Jagged Little Tapestry""",Yes,Jagged Little Tapestry,6
"""So Far Away""",Carole King,Quinn Fabray and Tina Cohen-Chang,"3. ""Jagged Little Tapestry""",Yes,Jagged Little Tapestry,6
"""You Learn"" / ""You've Got a Friend""",Alanis Morissette / Carole King,"Rachel Berry, Santana Lopez, Brittany Pierce, Kurt Hummel, Tina Cohen-Chang and Quinn Fabray with Noah Puckerman and New Directions","3. ""Jagged Little Tapestry""",Yes,Jagged Little Tapestry,6
"""Bitch""",Meredith Brooks,Sue Sylvester,"4. ""The Hurt Locker, Part One""",Yes,The Hurt Locker,6
"""A Thousand Miles""",Vanessa Carlton,Rachel Berry and Sam Evans,"4. ""The Hurt Locker, Part One""",Yes,The Hurt Locker,6
"""Rock Lobster""",The B-52's,Clint and Vocal Adrenaline,"4. ""The Hurt Locker, Part One""",Yes,The Hurt Locker,6
"""Whip It""",Devo,Clint and Vocal Adrenaline,"4. ""The Hurt Locker, Part One""",Yes,The Hurt Locker,6
"""My Sharona""",The Knack,Skylar and Dalton Academy Warblers,"5. ""The Hurt Locker, Part Two""",Yes,"The Hurt Locker, Part 2",6
"""You Spin Me Round (Like a Record)""",Dead or Alive,Skylar and Dalton Academy Warblers,"5. ""The Hurt Locker, Part Two""",Yes,"The Hurt Locker, Part 2",6
"""It Must Have Been Love""",Roxette,Kitty Wilde and Spencer Porter with New Directions,"5. ""The Hurt Locker, Part Two""",Yes,"The Hurt Locker, Part 2",6
"""Father Figure""",George Michael,Roderick with New Directions,"5. ""The Hurt Locker, Part Two""",Yes,"The Hurt Locker, Part 2",6
"""All Out of Love""",Air Supply,"Mason McCarthy, Madison McCarthy, and Jane Hayward with New Directions","5. ""The Hurt Locker, Part Two""",Yes,"The Hurt Locker, Part 2",6
"""I'll Never Fall in Love Again""",Dionne Warwick,Rachel Berry and Sam Evans,"6. ""What the World Needs Now""",Yes,What the World Needs Now Is Love,6
"""Baby It's You""",The Shirelles,"Mercedes Jones with Rachel Berry, Santana Lopez and Brittany Pierce","6. ""What the World Needs Now""",Yes,What the World Needs Now Is Love,6
"""Wishin' and Hopin'""",Dusty Springfield,"Brittany Pierce, Artie Abrams, Blaine Anderson and Sam Evans with angel choir","6. ""What the World Needs Now""",Yes,What the World Needs Now Is Love,6
"""Arthur's Theme (Best That You Can Do)""",Christopher Cross,"Blaine Anderson, Artie Abrams and New Directions males with Sam Evans and Kurt Hummel","6. ""What the World Needs Now""",Yes,What the World Needs Now Is Love,6
"""(They Long to Be) Close to You""",The Carpenters,Sam Evans,"6. ""What the World Needs Now""",Yes,What the World Needs Now Is Love,6
"""Promises, Promises""","Promises, Promises",Rachel Berry,"6. ""What the World Needs Now""",Yes,What the World Needs Now Is Love,6
"""Alfie""",Cilla Black,Santana Lopez with New Directions and alumni,"6. ""What the World Needs Now""",Yes,What the World Needs Now Is Love,6
"""What the World Needs Now""",Jackie DeShannon,"Mercedes Jones, Rachel Berry, Artie Abrams, Kurt Hummel, Will Schuester and Sam Evans with New Directions and alumni","6. ""What the World Needs Now""",Yes,What the World Needs Now Is Love,6
"""You Give Love a Bad Name""",Bon Jovi,Clint and Vocal Adrenaline,"7. ""Transitioning""",Yes,Transitioning,6
"""Same Love""",Macklemore & Ryan Lewis feat. Mary Lambert,"Will Schuester and Wade ""Unique"" Adams","7. ""Transitioning""",Yes,Transitioning,6
"""All About That Bass""",Meghan Trainor,Mercedes Jones and Roderick,"7. ""Transitioning""",Yes,Transitioning,6
"""Somebody Loves You""",Betty Who,Blaine Anderson and Kurt Hummel,"7. ""Transitioning""",Yes,Transitioning,6
"""Time After Time""",Cyndi Lauper,Rachel Berry and Sam Evans,"7. ""Transitioning""",Yes,Transitioning,6
"""I Know Where I've Been""",Hairspray,"Wade ""Unique"" Adams with transgender choir and Sheldon Beiste","7. ""Transitioning""",Yes,Transitioning,6
"""At Last""",Etta James,Mercedes Jones and Artie Abrams,"8. ""A Wedding""",Yes,A Wedding,6
"""Hey Ya!""",OutKast,"Artie Abrams with Jane Hayward, Madison McCarthy and the wedding guests","8. ""A Wedding""",Yes,A Wedding,6
"""I'm So Excited""",The Pointer Sisters,"Maribel Lopez, Whitney Pierce, Carole Hudson-Hummel, Pam Anderson and the Troubletones","8. ""A Wedding""",Yes,A Wedding,6
"""Our Day Will Come""",Ruby & the Romantics,"Santana Lopez, Brittany Pierce, Blaine Anderson and Kurt Hummel","8. ""A Wedding""",Yes,A Wedding,6
"""Lose My Breath""",Destiny's Child,Myron Muskovitz with female backup dancers,"9. ""Child Star""",Yes,Child Star,6
"""Friday I'm in Love""",The Cure,Spencer Porter with New Directions,"9. ""Child Star""",Yes,Child Star,6
"""I Want to Break Free""",Queen,Mason McCarthy,"9. ""Child Star""",Yes,Child Star,6
"""Uptown Funk""",Mark Ronson feat. Bruno Mars,"Jane Hayward, Spencer Porter and Roderick with New Directions","9. ""Child Star""",Yes,Child Star,6
"""Break Free""",Ariana Grande feat. Zedd,"Rachel Berry, Myron Muskovitz, Sheldon Beiste, Will Schuester, Sue Sylvester, Sam Evans and New Directions","9. ""Child Star""",Yes,Child Star,6
"""Cool Kids""",Echosmith,New Directions,"9. ""Child Star""",Yes,Child Star,6
"""Rather Be""",Clean Bandit feat. Jess Glynne,New Directions,"10. ""The Rise and Fall of Sue Sylvester""",Yes,The Rise and Fall of Sue Sylvester,6
"""The Trolley Song""",Judy Garland,Sue Sylvester and Doris Sylvester,"10. ""The Rise and Fall of Sue Sylvester""",Yes,The Rise and Fall of Sue Sylvester,6
"""Far from Over""",Frank Stallone,Clint and Vocal Adrenaline,"10. ""The Rise and Fall of Sue Sylvester""",Yes,The Rise and Fall of Sue Sylvester,6
"""The Final Countdown""",Europe,Sue Sylvester and Will Schuester,"10. ""The Rise and Fall of Sue Sylvester""",Yes,The Rise and Fall of Sue Sylvester,6
"""Rise""",Original composition by Darren Criss,New Directions,"10. ""The Rise and Fall of Sue Sylvester""",Yes,The Rise and Fall of Sue Sylvester,6
"""Listen to Your Heart""",Roxette,Rachel Berry and Jesse St. James,"11. ""We Built This Glee Club""",Yes,We Built This Glee Club,6
"""Broken Wings""",Mr. Mister,The Falconers,"11. ""We Built This Glee Club""",No,No,6
"""We Built This City""",Starship,Clint and Vocal Adrenaline,"11. ""We Built This Glee Club""",Yes,We Built This Glee Club,6
"""Mickey""",Toni Basil,Clint and Vocal Adrenaline,"11. ""We Built This Glee Club""",Yes,We Built This Glee Club,6
"""Take Me to Church""",Hozier,"Roderick with Kitty Wilde, Skylar, Jane Hayward and New Directions","11. ""We Built This Glee Club""",Yes,We Built This Glee Club,6
"""Chandelier""",Sia,"Madison McCarthy with Kitty Wilde, Jane Hayward and New Directions","11. ""We Built This Glee Club""",Yes,We Built This Glee Club,6
"""Come Sail Away""",Styx,"Mason McCarthy with Madison McCarthy, Spencer Porter, Kitty Wilde and New Directions","11. ""We Built This Glee Club""",Yes,We Built This Glee Club,6
"""Popular""",Wicked,Rachel Berry and Kurt Hummel,"12. ""2009""",Yes,2009,6
"""Mister Cellophane""",Chicago,Kurt Hummel,"12. ""2009""",No,No,6
"""I'm His Child""",Zella Jackson Price,Mercedes Jones with church choir,"12. ""2009""",Yes,2009,6
"""I Kissed a Girl""",Katy Perry,Tina Cohen-Chang,"12. ""2009""",Yes,2009,6
"""Pony""",Ginuwine,Artie Abrams,"12. ""2009""",Yes,2009,6
"""Don't Stop Believin'""",Journey,New Directions,"12. ""2009""",Yes,2009,6
"""Teach Your Children""","Crosby, Stills, Nash & Young",Will Schuester,"13. ""Dreams Come True""",Yes,Dreams Come True,6
"""Someday We'll Be Together""",Diana Ross & the Supremes,Mercedes Jones with gospel choir,"13. ""Dreams Come True""",Yes,Dreams Come True,6
"""The Winner Takes It All""",ABBA,Sue Sylvester and Will Schuester,"13. ""Dreams Come True""",Yes,Dreams Come True,6
"""Daydream Believer""",The Monkees,Kurt Hummel and Blaine Anderson with schoolchildren,"13. ""Dreams Come True""",Yes,Dreams Come True,6
"""This Time""",Darren Criss,Rachel Berry,"13. ""Dreams Come True""",Yes,Dreams Come True,6
"""I Lived""",OneRepublic,show,"13. ""Dreams Come True""",Yes,Dreams Come True,6
